drain TotalCurrent(IdVgdg_n77_des) X,drain TotalCurrent(IdVgdg_n77_des) Y,drain TotalCurrent(IdVgdg_n78_des) X,drain TotalCurrent(IdVgdg_n78_des) Y,drain TotalCurrent(IdVgdg_n79_des) X,drain TotalCurrent(IdVgdg_n79_des) Y,drain TotalCurrent(IdVgdg_n80_des) X,drain TotalCurrent(IdVgdg_n80_des) Y,drain TotalCurrent(IdVgdg_n81_des) X,drain TotalCurrent(IdVgdg_n81_des) Y,drain TotalCurrent(IdVgdg_n82_des) X,drain TotalCurrent(IdVgdg_n82_des) Y,drain TotalCurrent(IdVgdg_n83_des) X,drain TotalCurrent(IdVgdg_n83_des) Y,drain TotalCurrent(IdVgdg_n84_des) X,drain TotalCurrent(IdVgdg_n84_des) Y,drain TotalCurrent(IdVgdg_n85_des) X,drain TotalCurrent(IdVgdg_n85_des) Y,drain TotalCurrent(IdVgdg_n86_des) X,drain TotalCurrent(IdVgdg_n86_des) Y,drain TotalCurrent(IdVgdg_n87_des) X,drain TotalCurrent(IdVgdg_n87_des) Y,drain TotalCurrent(IdVgdg_n88_des) X,drain TotalCurrent(IdVgdg_n88_des) Y,drain TotalCurrent(IdVgdg_n89_des) X,drain TotalCurrent(IdVgdg_n89_des) Y,drain TotalCurrent(IdVgdg_n90_des) X,drain TotalCurrent(IdVgdg_n90_des) Y,drain TotalCurrent(IdVgdg_n91_des) X,drain TotalCurrent(IdVgdg_n91_des) Y,drain TotalCurrent(IdVgdg_n92_des) X,drain TotalCurrent(IdVgdg_n92_des) Y,drain TotalCurrent(IdVgdg_n93_des) X,drain TotalCurrent(IdVgdg_n93_des) Y,drain TotalCurrent(IdVgdg_n94_des) X,drain TotalCurrent(IdVgdg_n94_des) Y,drain TotalCurrent(IdVgdg_n95_des) X,drain TotalCurrent(IdVgdg_n95_des) Y,drain TotalCurrent(IdVgdg_n96_des) X,drain TotalCurrent(IdVgdg_n96_des) Y,drain TotalCurrent(IdVgdg_n97_des) X,drain TotalCurrent(IdVgdg_n97_des) Y,drain TotalCurrent(IdVgdg_n98_des) X,drain TotalCurrent(IdVgdg_n98_des) Y,drain TotalCurrent(IdVgdg_n99_des) X,drain TotalCurrent(IdVgdg_n99_des) Y,drain TotalCurrent(IdVgdg_n100_des) X,drain TotalCurrent(IdVgdg_n100_des) Y,drain TotalCurrent(IdVgdg_n101_des) X,drain TotalCurrent(IdVgdg_n101_des) Y,drain TotalCurrent(IdVgdg_n102_des) X,drain TotalCurrent(IdVgdg_n102_des) Y,drain TotalCurrent(IdVgdg_n103_des) X,drain TotalCurrent(IdVgdg_n103_des) Y,drain TotalCurrent(IdVgdg_n104_des) X,drain TotalCurrent(IdVgdg_n104_des) Y,drain TotalCurrent(IdVgdg_n105_des) X,drain TotalCurrent(IdVgdg_n105_des) Y,drain TotalCurrent(IdVgdg_n106_des) X,drain TotalCurrent(IdVgdg_n106_des) Y,drain TotalCurrent(IdVgdg_n178_des) X,drain TotalCurrent(IdVgdg_n178_des) Y,drain TotalCurrent(IdVgdg_n183_des) X,drain TotalCurrent(IdVgdg_n183_des) Y,drain TotalCurrent(IdVgdg_n188_des) X,drain TotalCurrent(IdVgdg_n188_des) Y,drain TotalCurrent(IdVgdg_n193_des) X,drain TotalCurrent(IdVgdg_n193_des) Y,drain TotalCurrent(IdVgdg_n198_des) X,drain TotalCurrent(IdVgdg_n198_des) Y,drain TotalCurrent(IdVgdg_n203_des) X,drain TotalCurrent(IdVgdg_n203_des) Y,drain TotalCurrent(IdVgdg_n208_des) X,drain TotalCurrent(IdVgdg_n208_des) Y,drain TotalCurrent(IdVgdg_n213_des) X,drain TotalCurrent(IdVgdg_n213_des) Y,drain TotalCurrent(IdVgdg_n218_des) X,drain TotalCurrent(IdVgdg_n218_des) Y,drain TotalCurrent(IdVgdg_n223_des) X,drain TotalCurrent(IdVgdg_n223_des) Y,drain TotalCurrent(IdVgdg_n228_des) X,drain TotalCurrent(IdVgdg_n228_des) Y,drain TotalCurrent(IdVgdg_n233_des) X,drain TotalCurrent(IdVgdg_n233_des) Y,drain TotalCurrent(IdVgdg_n238_des) X,drain TotalCurrent(IdVgdg_n238_des) Y,drain TotalCurrent(IdVgdg_n243_des) X,drain TotalCurrent(IdVgdg_n243_des) Y,drain TotalCurrent(IdVgdg_n248_des) X,drain TotalCurrent(IdVgdg_n248_des) Y,drain TotalCurrent(IdVgdg_n253_des) X,drain TotalCurrent(IdVgdg_n253_des) Y,drain TotalCurrent(IdVgdg_n258_des) X,drain TotalCurrent(IdVgdg_n258_des) Y,drain TotalCurrent(IdVgdg_n263_des) X,drain TotalCurrent(IdVgdg_n263_des) Y,drain TotalCurrent(IdVgdg_n268_des) X,drain TotalCurrent(IdVgdg_n268_des) Y
-6,-5.03E-12,-6,-1.00E-09,-6,-5.29E-11,-6,-4.79E-11,-6,-5.25E-11,-6,-4.30E-11,-6,-4.70E-11,-6,-5.08E-11,-6,-4.87E-11,-6,-5.26E-11,-6,-5.38E-11,-6,-4.86E-11,-6,-5.34E-11,-6,-5.08E-11,-6,-4.81E-11,-6,-4.84E-11,-6,-4.78E-11,-6,7.11E-12,-6,4.66E-12,-6,9.58E-12,-6,5.34E-12,-6,1.02E-11,-6,1.11E-11,-6,1.09E-11,-6,5.39E-12,-6,7.92E-12,-6,8.14E-12,-6,1.08E-11,-6,1.12E-11,-6,1.10E-11,-6,8.09E-12,-6,1.13E-11,-6,9.86E-12,-6,1.56E-11,-6,1.45E-11,-6,1.13E-11,-6,2.38E-11,-6,1.82E-11,-6,1.88E-11,-6,3.39E-11,-6,3.52E-11,-6,2.93E-11,-6,2.88E-11,-6,3.27E-11,-6,3.67E-11,-6,4.03E-11,-6,4.22E-11,-6,5.01E-11,-6,4.10E-11
-5.800000191,-1.13E-11,-5.800000191,-5.47E-10,-5.800000191,-1.55E-11,-5.800000191,-1.30E-11,-5.800000191,-1.43E-11,-5.800000191,-1.45E-11,-5.800000191,-3.72E-12,-5.800000191,-7.86E-12,-5.800000191,-1.08E-11,-5.800000191,-7.93E-12,-5.800000191,-9.98E-12,-5.800000191,-7.76E-12,-5.800000191,-6.54E-12,-5.800000191,-1.07E-11,-5.800000191,-2.76E-12,-5.800000191,1.05E-12,-5.800000191,-4.95E-12,-5.800000191,4.76E-11,-5.800000191,5.10E-11,-5.800000191,5.88E-11,-5.800000191,4.80E-11,-5.800000191,4.71E-11,-5.800000191,4.83E-11,-5.800000191,6.91E-11,-5.800000191,5.55E-11,-5.800000191,2.80E-11,-5.800000191,4.32E-11,-5.800000191,5.77E-11,-5.800000191,7.09E-11,-5.800000191,7.72E-11,-5.800000191,7.61E-11,-5.800000191,7.62E-11,-5.800000191,9.68E-11,-5.800000191,8.81E-11,-5.800000191,9.58E-11,-5.800000191,8.18E-11,-5.800000191,1.03E-10,-5.800000191,1.06E-10,-5.800000191,1.16E-10,-5.800000191,1.48E-10,-5.800000191,1.39E-10,-5.800000191,1.47E-10,-5.800000191,1.53E-10,-5.800000191,1.70E-10,-5.800000191,1.69E-10,-5.800000191,1.87E-10,-5.800000191,1.83E-10,-5.800000191,2.04E-10,-5.800000191,1.97E-10
-5.599999905,-7.33E-12,-5.599999905,-2.56E-10,-5.599999905,5.34E-11,-5.599999905,5.94E-11,-5.599999905,5.90E-11,-5.599999905,6.08E-11,-5.599999905,8.74E-11,-5.599999905,7.60E-11,-5.599999905,7.96E-11,-5.599999905,9.17E-11,-5.599999905,9.14E-11,-5.599999905,1.16E-10,-5.599999905,9.77E-11,-5.599999905,9.44E-11,-5.599999905,1.25E-10,-5.599999905,1.24E-10,-5.599999905,1.02E-10,-5.599999905,1.86E-10,-5.599999905,2.11E-10,-5.599999905,2.40E-10,-5.599999905,2.18E-10,-5.599999905,2.18E-10,-5.599999905,2.13E-10,-5.599999905,2.71E-10,-5.599999905,2.61E-10,-5.599999905,1.16E-10,-5.599999905,1.67E-10,-5.599999905,2.10E-10,-5.599999905,2.39E-10,-5.599999905,2.78E-10,-5.599999905,2.97E-10,-5.599999905,3.09E-10,-5.599999905,3.49E-10,-5.599999905,3.91E-10,-5.599999905,3.58E-10,-5.599999905,3.13E-10,-5.599999905,4.11E-10,-5.599999905,4.17E-10,-5.599999905,4.54E-10,-5.599999905,5.78E-10,-5.599999905,5.18E-10,-5.599999905,5.17E-10,-5.599999905,5.98E-10,-5.599999905,6.16E-10,-5.599999905,5.90E-10,-5.599999905,6.33E-10,-5.599999905,6.35E-10,-5.599999905,7.67E-10,-5.599999905,6.83E-10
-5.400000095,-5.08E-12,-5.400000095,1.94E-12,-5.400000095,2.42E-10,-5.400000095,2.64E-10,-5.400000095,2.93E-10,-5.400000095,2.93E-10,-5.400000095,3.58E-10,-5.400000095,3.41E-10,-5.400000095,3.45E-10,-5.400000095,3.65E-10,-5.400000095,4.18E-10,-5.400000095,4.45E-10,-5.400000095,4.54E-10,-5.400000095,4.45E-10,-5.400000095,5.31E-10,-5.400000095,5.42E-10,-5.400000095,4.68E-10,-5.400000095,6.89E-10,-5.400000095,7.37E-10,-5.400000095,8.26E-10,-5.400000095,8.29E-10,-5.400000095,8.02E-10,-5.400000095,8.30E-10,-5.400000095,9.47E-10,-5.400000095,9.16E-10,-5.400000095,4.54E-10,-5.400000095,6.35E-10,-5.400000095,7.68E-10,-5.400000095,8.34E-10,-5.400000095,9.85E-10,-5.400000095,1.05E-09,-5.400000095,1.07E-09,-5.400000095,1.15E-09,-5.400000095,1.30E-09,-5.400000095,1.24E-09,-5.400000095,1.11E-09,-5.400000095,1.37E-09,-5.400000095,1.34E-09,-5.400000095,1.46E-09,-5.400000095,1.69E-09,-5.400000095,1.61E-09,-5.400000095,1.74E-09,-5.400000095,1.95E-09,-5.400000095,1.90E-09,-5.400000095,1.93E-09,-5.400000095,2.12E-09,-5.400000095,2.02E-09,-5.400000095,2.45E-09,-5.400000095,2.26E-09
-5.199999809,-2.58E-12,-5.199999809,4.40E-10,-5.199999809,7.94E-10,-5.199999809,9.29E-10,-5.199999809,1.08E-09,-5.199999809,1.03E-09,-5.199999809,1.23E-09,-5.199999809,1.22E-09,-5.199999809,1.21E-09,-5.199999809,1.25E-09,-5.199999809,1.50E-09,-5.199999809,1.58E-09,-5.199999809,1.63E-09,-5.199999809,1.61E-09,-5.199999809,1.78E-09,-5.199999809,1.86E-09,-5.199999809,1.67E-09,-5.199999809,2.21E-09,-5.199999809,2.38E-09,-5.199999809,2.64E-09,-5.199999809,2.66E-09,-5.199999809,2.62E-09,-5.199999809,2.75E-09,-5.199999809,2.99E-09,-5.199999809,3.07E-09,-5.199999809,1.49E-09,-5.199999809,2.01E-09,-5.199999809,2.45E-09,-5.199999809,2.74E-09,-5.199999809,3.01E-09,-5.199999809,3.21E-09,-5.199999809,3.48E-09,-5.199999809,3.44E-09,-5.199999809,3.80E-09,-5.199999809,3.68E-09,-5.199999809,3.50E-09,-5.199999809,4.16E-09,-5.199999809,4.07E-09,-5.199999809,4.64E-09,-5.199999809,4.76E-09,-5.199999809,4.96E-09,-5.199999809,4.86E-09,-5.199999809,5.37E-09,-5.199999809,5.54E-09,-5.199999809,5.70E-09,-5.199999809,5.75E-09,-5.199999809,5.92E-09,-5.199999809,6.84E-09,-5.199999809,6.18E-09
-5,2.20E-13,-5,1.45E-09,-5,2.25E-09,-5,2.66E-09,-5,3.35E-09,-5,3.22E-09,-5,3.55E-09,-5,3.87E-09,-5,3.62E-09,-5,3.85E-09,-5,4.48E-09,-5,4.83E-09,-5,4.85E-09,-5,4.85E-09,-5,5.49E-09,-5,5.37E-09,-5,5.05E-09,-5,6.36E-09,-5,7.06E-09,-5,7.34E-09,-5,8.26E-09,-5,8.22E-09,-5,8.32E-09,-5,8.95E-09,-5,9.11E-09,-5,4.69E-09,-5,5.77E-09,-5,6.84E-09,-5,8.32E-09,-5,8.66E-09,-5,9.06E-09,-5,1.00E-08,-5,9.92E-09,-5,1.06E-08,-5,1.06E-08,-5,1.02E-08,-5,1.12E-08,-5,1.13E-08,-5,1.27E-08,-5,1.34E-08,-5,1.36E-08,-5,1.35E-08,-5,1.50E-08,-5,1.53E-08,-5,1.60E-08,-5,1.59E-08,-5,1.61E-08,-5,1.78E-08,-5,1.67E-08
-4.800000191,-1.02E-12,-4.800000191,4.17E-09,-4.800000191,6.00E-09,-4.800000191,7.39E-09,-4.800000191,9.52E-09,-4.800000191,9.48E-09,-4.800000191,1.05E-08,-4.800000191,1.11E-08,-4.800000191,1.08E-08,-4.800000191,1.10E-08,-4.800000191,1.29E-08,-4.800000191,1.32E-08,-4.800000191,1.36E-08,-4.800000191,1.39E-08,-4.800000191,1.52E-08,-4.800000191,1.53E-08,-4.800000191,1.47E-08,-4.800000191,1.80E-08,-4.800000191,1.96E-08,-4.800000191,1.98E-08,-4.800000191,2.10E-08,-4.800000191,2.14E-08,-4.800000191,2.21E-08,-4.800000191,2.33E-08,-4.800000191,2.36E-08,-4.800000191,1.27E-08,-4.800000191,1.61E-08,-4.800000191,1.85E-08,-4.800000191,2.08E-08,-4.800000191,2.16E-08,-4.800000191,2.35E-08,-4.800000191,2.49E-08,-4.800000191,2.49E-08,-4.800000191,2.63E-08,-4.800000191,2.69E-08,-4.800000191,2.56E-08,-4.800000191,2.81E-08,-4.800000191,2.82E-08,-4.800000191,3.08E-08,-4.800000191,3.28E-08,-4.800000191,3.30E-08,-4.800000191,3.32E-08,-4.800000191,3.63E-08,-4.800000191,3.74E-08,-4.800000191,3.81E-08,-4.800000191,3.90E-08,-4.800000191,3.93E-08,-4.800000191,4.16E-08,-4.800000191,4.12E-08
-4.599999905,-4.80E-12,-4.599999905,1.05E-08,-4.599999905,1.62E-08,-4.599999905,1.95E-08,-4.599999905,2.44E-08,-4.599999905,2.39E-08,-4.599999905,2.69E-08,-4.599999905,2.80E-08,-4.599999905,2.81E-08,-4.599999905,2.78E-08,-4.599999905,3.23E-08,-4.599999905,3.37E-08,-4.599999905,3.32E-08,-4.599999905,3.45E-08,-4.599999905,3.73E-08,-4.599999905,3.78E-08,-4.599999905,3.62E-08,-4.599999905,4.37E-08,-4.599999905,4.67E-08,-4.599999905,4.74E-08,-4.599999905,4.23E-08,-4.599999905,4.24E-08,-4.599999905,4.41E-08,-4.599999905,4.66E-08,-4.599999905,4.71E-08,-4.599999905,3.17E-08,-4.599999905,3.95E-08,-4.599999905,4.45E-08,-4.599999905,4.91E-08,-4.599999905,4.45E-08,-4.599999905,4.48E-08,-4.599999905,4.66E-08,-4.599999905,4.94E-08,-4.599999905,5.18E-08,-4.599999905,5.18E-08,-4.599999905,5.10E-08,-4.599999905,5.53E-08,-4.599999905,5.73E-08,-4.599999905,5.94E-08,-4.599999905,6.25E-08,-4.599999905,6.37E-08,-4.599999905,6.36E-08,-4.599999905,6.98E-08,-4.599999905,7.11E-08,-4.599999905,7.39E-08,-4.599999905,7.60E-08,-4.599999905,7.68E-08,-4.599999905,7.80E-08,-4.599999905,8.04E-08
-4.400000095,7.13E-12,-4.400000095,2.40E-08,-4.400000095,3.78E-08,-4.400000095,4.64E-08,-4.400000095,4.67E-08,-4.400000095,4.86E-08,-4.400000095,5.40E-08,-4.400000095,5.47E-08,-4.400000095,5.56E-08,-4.400000095,5.80E-08,-4.400000095,6.41E-08,-4.400000095,6.43E-08,-4.400000095,6.59E-08,-4.400000095,7.07E-08,-4.400000095,7.17E-08,-4.400000095,7.34E-08,-4.400000095,7.23E-08,-4.400000095,8.54E-08,-4.400000095,8.81E-08,-4.400000095,8.98E-08,-4.400000095,1.04E-07,-4.400000095,1.08E-07,-4.400000095,1.13E-07,-4.400000095,1.18E-07,-4.400000095,1.18E-07,-4.400000095,6.42E-08,-4.400000095,7.42E-08,-4.400000095,8.47E-08,-4.400000095,9.14E-08,-4.400000095,1.07E-07,-4.400000095,1.10E-07,-4.400000095,1.14E-07,-4.400000095,1.19E-07,-4.400000095,1.21E-07,-4.400000095,1.25E-07,-4.400000095,1.24E-07,-4.400000095,1.29E-07,-4.400000095,1.34E-07,-4.400000095,1.36E-07,-4.400000095,1.45E-07,-4.400000095,1.48E-07,-4.400000095,1.50E-07,-4.400000095,1.59E-07,-4.400000095,1.66E-07,-4.400000095,1.67E-07,-4.400000095,1.75E-07,-4.400000095,1.75E-07,-4.400000095,1.76E-07,-4.400000095,1.82E-07
-4.199999809,2.00E-11,-4.199999809,4.43E-08,-4.199999809,7.00E-08,-4.199999809,8.77E-08,-4.199999809,1.13E-07,-4.199999809,1.20E-07,-4.199999809,1.31E-07,-4.199999809,1.35E-07,-4.199999809,1.36E-07,-4.199999809,1.41E-07,-4.199999809,1.52E-07,-4.199999809,1.54E-07,-4.199999809,1.58E-07,-4.199999809,1.66E-07,-4.199999809,1.72E-07,-4.199999809,1.77E-07,-4.199999809,1.75E-07,-4.199999809,1.99E-07,-4.199999809,2.06E-07,-4.199999809,2.07E-07,-4.199999809,2.28E-07,-4.199999809,2.35E-07,-4.199999809,2.44E-07,-4.199999809,2.44E-07,-4.199999809,2.53E-07,-4.199999809,1.49E-07,-4.199999809,1.70E-07,-4.199999809,1.89E-07,-4.199999809,2.02E-07,-4.199999809,2.24E-07,-4.199999809,2.29E-07,-4.199999809,2.36E-07,-4.199999809,2.47E-07,-4.199999809,2.56E-07,-4.199999809,2.58E-07,-4.199999809,2.61E-07,-4.199999809,2.68E-07,-4.199999809,2.76E-07,-4.199999809,2.79E-07,-4.199999809,2.92E-07,-4.199999809,3.05E-07,-4.199999809,3.04E-07,-4.199999809,3.25E-07,-4.199999809,3.35E-07,-4.199999809,3.36E-07,-4.199999809,3.51E-07,-4.199999809,3.49E-07,-4.199999809,3.47E-07,-4.199999809,3.58E-07
