0.25,0.25,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.75,1.75,2,2,2.25,2.25,2.5,2.5,2.75,2.75,3,3,3.25,3.25,3.5,3.5,3.75,3.75,4,4,4.25,4.25,4.5,4.5,4.75,4.75,5,5,5.25,5.25,5.5,5.5,5.75,5.75,6,6,6.25,6.25,6.5,6.5,6.75,6.75,7,7,7.25,7.25,7.5,7.5,7.75,7.75,8,8,8.25,8.25,8.5,8.5,8.75,8.75,9,9,9.25,9.25,9.5,9.5,9.75,9.75,10,10,10.25,10.25,10.5,10.5,10.75,10.75,11,11,11.25,11.25,11.5,11.5,11.75,11.75,12,12
-6,2.46E-13,-6,1.36E-12,-6,1.56E-12,-6,3.05E-12,-6,1.90E-12,-6,2.16E-12,-6,3.04E-12,-6,3.60E-12,-6,1.29E-12,-6,5.93E-15,-6,2.22E-12,-6,2.33E-13,-6,3.83E-12,-6,4.10E-13,-6,3.25E-12,-6,8.43E-13,-6,3.63E-12,-6,8.73E-13,-6,1.12E-12,-6,1.20E-12,-6,2.97E-13,-6,2.79E-12,-6,9.13E-13,-6,2.00E-12,-6,1.81E-12,-6,3.25E-12,-6,1.18E-12,-6,3.77E-13,-6,2.43E-12,-6,5.07E-13,-6,8.60E-13,-6,3.33E-12,-6,8.07E-13,-6,8.60E-13,-6,2.43E-12,-6,6.17E-13,-6,1.94E-12,-6,3.53E-12,-6,1.57E-12,-6,8.17E-14,-6,3.37E-12,-6,1.62E-12,-6,6.87E-13,-6,1.92E-12,-6,1.90E-12,-6,5.63E-14,-6,3.33E-12,-6,2.48E-12
-5.800000191,2.92E-13,-5.800000191,1.13E-12,-5.800000191,8.87E-13,-5.800000191,4.27E-12,-5.800000191,2.74E-12,-5.800000191,9.50E-14,-5.800000191,2.83E-12,-5.800000191,1.84E-12,-5.800000191,3.87E-12,-5.800000191,4.77E-13,-5.800000191,3.33E-12,-5.800000191,5.50E-13,-5.800000191,3.06E-12,-5.800000191,3.97E-13,-5.800000191,2.00E-12,-5.800000191,8.80E-13,-5.800000191,2.56E-12,-5.800000191,1.47E-12,-5.800000191,1.15E-12,-5.800000191,3.01E-12,-5.800000191,2.80E-13,-5.800000191,2.65E-12,-5.800000191,4.13E-13,-5.800000191,1.55E-12,-5.800000191,1.00E-12,-5.800000191,1.82E-12,-5.800000191,1.39E-12,-5.800000191,1.62E-13,-5.800000191,2.05E-12,-5.800000191,9.10E-13,-5.800000191,3.67E-13,-5.800000191,2.83E-12,-5.800000191,6.17E-13,-5.800000191,3.47E-12,-5.800000191,3.19E-12,-5.800000191,7.00E-13,-5.800000191,9.53E-13,-5.800000191,3.01E-12,-5.800000191,2.02E-12,-5.800000191,1.96E-13,-5.800000191,1.74E-12,-5.800000191,2.94E-12,-5.800000191,3.47E-13,-5.800000191,1.61E-12,-5.800000191,1.50E-12,-5.800000191,6.83E-13,-5.800000191,1.30E-12,-5.800000191,2.21E-12
-5.599999905,5.70E-13,-5.599999905,5.93E-15,-5.599999905,4.73E-13,-5.599999905,2.28E-12,-5.599999905,2.90E-12,-5.599999905,2.41E-13,-5.599999905,2.00E-12,-5.599999905,7.67E-13,-5.599999905,3.04E-12,-5.599999905,1.18E-12,-5.599999905,1.88E-12,-5.599999905,8.73E-13,-5.599999905,2.28E-12,-5.599999905,2.55E-12,-5.599999905,9.70E-13,-5.599999905,1.45E-13,-5.599999905,1.37E-12,-5.599999905,1.70E-12,-5.599999905,6.33E-13,-5.599999905,3.60E-12,-5.599999905,5.10E-13,-5.599999905,3.43E-12,-5.599999905,1.62E-12,-5.599999905,5.67E-13,-5.599999905,1.60E-12,-5.599999905,1.53E-12,-5.599999905,3.16E-12,-5.599999905,6.67E-13,-5.599999905,1.36E-12,-5.599999905,1.82E-12,-5.599999905,9.23E-13,-5.599999905,2.00E-12,-5.599999905,1.89E-12,-5.599999905,1.53E-12,-5.599999905,3.26E-12,-5.599999905,2.13E-12,-5.599999905,7.33E-14,-5.599999905,2.04E-12,-5.599999905,2.47E-12,-5.599999905,3.97E-14,-5.599999905,2.72E-13,-5.599999905,3.03E-12,-5.599999905,2.21E-13,-5.599999905,2.72E-13,-5.599999905,2.76E-12,-5.599999905,1.79E-12,-5.599999905,1.67E-12,-5.599999905,3.50E-12
-5.400000095,2.77E-14,-5.400000095,1.03E-13,-5.400000095,8.67E-14,-5.400000095,3.17E-13,-5.400000095,3.33E-12,-5.400000095,7.10E-13,-5.400000095,8.87E-13,-5.400000095,2.92E-13,-5.400000095,2.80E-12,-5.400000095,2.70E-12,-5.400000095,8.60E-13,-5.400000095,2.67E-12,-5.400000095,8.77E-13,-5.400000095,2.51E-12,-5.400000095,6.17E-13,-5.400000095,1.46E-12,-5.400000095,7.60E-13,-5.400000095,3.15E-12,-5.400000095,7.03E-13,-5.400000095,4.40E-12,-5.400000095,8.53E-13,-5.400000095,6.07E-13,-5.400000095,2.58E-12,-5.400000095,3.77E-13,-5.400000095,4.40E-13,-5.400000095,6.30E-13,-5.400000095,2.49E-12,-5.400000095,2.33E-13,-5.400000095,1.26E-12,-5.400000095,3.77E-12,-5.400000095,8.17E-14,-5.400000095,1.07E-12,-5.400000095,1.57E-12,-5.400000095,1.62E-13,-5.400000095,1.12E-12,-5.400000095,3.24E-12,-5.400000095,7.13E-13,-5.400000095,4.10E-13,-5.400000095,4.30E-12,-5.400000095,2.03E-12,-5.400000095,6.07E-13,-5.400000095,2.85E-12,-5.400000095,1.42E-12,-5.400000095,5.93E-13,-5.400000095,2.88E-12,-5.400000095,8.00E-13,-5.400000095,1.02E-12,-5.400000095,2.96E-12
-5.199999809,1.83E-12,-5.199999809,7.77E-13,-5.199999809,4.23E-13,-5.199999809,6.50E-13,-5.199999809,2.50E-12,-5.199999809,1.50E-12,-5.199999809,5.67E-13,-5.199999809,7.87E-13,-5.199999809,1.09E-12,-5.199999809,2.79E-12,-5.199999809,7.83E-13,-5.199999809,2.37E-12,-5.199999809,1.92E-12,-5.199999809,3.01E-12,-5.199999809,1.33E-12,-5.199999809,2.64E-12,-5.199999809,2.38E-13,-5.199999809,3.67E-12,-5.199999809,1.93E-14,-5.199999809,1.85E-12,-5.199999809,1.81E-12,-5.199999809,2.88E-13,-5.199999809,3.63E-12,-5.199999809,1.41E-13,-5.199999809,1.75E-12,-5.199999809,8.47E-13,-5.199999809,2.75E-12,-5.199999809,8.70E-13,-5.199999809,7.03E-13,-5.199999809,2.01E-12,-5.199999809,2.38E-13,-5.199999809,8.77E-13,-5.199999809,4.00E-12,-5.199999809,1.54E-13,-5.199999809,7.33E-14,-5.199999809,3.53E-12,-5.199999809,5.23E-13,-5.199999809,5.00E-13,-5.199999809,3.09E-12,-5.199999809,2.69E-12,-5.199999809,1.52E-12,-5.199999809,1.76E-12,-5.199999809,4.10E-12,-5.199999809,3.80E-13,-5.199999809,2.04E-12,-5.199999809,3.27E-12,-5.199999809,1.29E-13,-5.199999809,4.40E-13
-5,2.43E-12,-5,1.34E-12,-5,1.37E-12,-5,6.37E-13,-5,1.11E-12,-5,3.07E-12,-5,3.60E-13,-5,3.60E-14,-5,2.21E-13,-5,4.23E-12,-5,1.32E-13,-5,2.38E-12,-5,4.53E-13,-5,2.30E-12,-5,2.55E-13,-5,2.26E-12,-5,2.75E-13,-5,1.31E-12,-5,2.14E-12,-5,1.23E-12,-5,3.60E-12,-5,1.18E-12,-5,2.65E-12,-5,1.63E-12,-5,2.07E-12,-5,1.36E-12,-5,1.42E-12,-5,2.24E-12,-5,9.57E-13,-5,1.37E-12,-5,2.02E-12,-5,8.67E-14,-5,2.52E-12,-5,1.55E-12,-5,9.63E-13,-5,2.11E-12,-5,8.43E-13,-5,6.50E-14,-5,1.47E-12,-5,3.18E-12,-5,8.00E-13,-5,1.44E-14,-5,2.76E-12,-5,1.10E-12,-5,1.07E-13,-5,4.10E-12,-5,2.21E-12,-5,7.80E-14
-4.800000191,3.37E-12,-4.800000191,2.27E-12,-4.800000191,3.53E-12,-4.800000191,4.67E-13,-4.800000191,2.38E-13,-4.800000191,2.06E-12,-4.800000191,2.55E-13,-4.800000191,1.68E-12,-4.800000191,2.16E-13,-4.800000191,2.53E-12,-4.800000191,4.23E-13,-4.800000191,3.97E-12,-4.800000191,4.27E-13,-4.800000191,1.21E-12,-4.800000191,1.99E-13,-4.800000191,3.63E-12,-4.800000191,1.58E-12,-4.800000191,1.19E-12,-4.800000191,1.91E-12,-4.800000191,1.07E-13,-4.800000191,3.73E-12,-4.800000191,1.17E-12,-4.800000191,1.48E-12,-4.800000191,2.53E-12,-4.800000191,1.95E-12,-4.800000191,1.27E-12,-4.800000191,3.97E-13,-4.800000191,3.67E-12,-4.800000191,1.06E-12,-4.800000191,9.43E-13,-4.800000191,2.93E-12,-4.800000191,1.36E-12,-4.800000191,1.70E-12,-4.800000191,4.40E-13,-4.800000191,7.63E-13,-4.800000191,6.50E-13,-4.800000191,1.54E-12,-4.800000191,5.30E-14,-4.800000191,2.30E-13,-4.800000191,2.69E-12,-4.800000191,1.40E-12,-4.800000191,5.17E-13,-4.800000191,1.67E-12,-4.800000191,2.29E-12,-4.800000191,7.03E-13,-4.800000191,1.41E-12,-4.800000191,2.41E-12,-4.800000191,2.55E-13
-4.599999905,2.78E-12,-4.599999905,2.50E-12,-4.599999905,4.30E-12,-4.599999905,9.53E-13,-4.599999905,1.42E-12,-4.599999905,2.73E-12,-4.599999905,1.57E-12,-4.599999905,2.48E-12,-4.599999905,8.17E-14,-4.599999905,5.73E-13,-4.599999905,1.00E-12,-4.599999905,2.50E-12,-4.599999905,2.13E-12,-4.599999905,8.60E-13,-4.599999905,4.47E-13,-4.599999905,2.43E-12,-4.599999905,1.99E-12,-4.599999905,7.30E-13,-4.599999905,2.90E-12,-4.599999905,1.14E-12,-4.599999905,1.58E-12,-4.599999905,2.70E-12,-4.599999905,5.73E-13,-4.599999905,1.61E-12,-4.599999905,3.67E-12,-4.599999905,9.87E-13,-4.599999905,1.99E-13,-4.599999905,3.25E-12,-4.599999905,1.96E-12,-4.599999905,1.66E-13,-4.599999905,3.26E-12,-4.599999905,1.32E-12,-4.599999905,1.28E-12,-4.599999905,1.95E-12,-4.599999905,1.03E-12,-4.599999905,7.97E-13,-4.599999905,3.80E-12,-4.599999905,1.70E-12,-4.599999905,3.97E-14,-4.599999905,1.17E-12,-4.599999905,2.64E-12,-4.599999905,8.07E-13,-4.599999905,1.03E-12,-4.599999905,2.52E-12,-4.599999905,9.60E-13,-4.599999905,2.02E-12,-4.599999905,2.64E-12,-4.599999905,6.87E-13
-4.400000095,1.70E-12,-4.400000095,3.77E-12,-4.400000095,1.11E-12,-4.400000095,2.17E-12,-4.400000095,1.23E-12,-4.400000095,1.53E-12,-4.400000095,1.36E-12,-4.400000095,1.43E-12,-4.400000095,1.74E-12,-4.400000095,4.60E-13,-4.400000095,2.10E-12,-4.400000095,1.03E-12,-4.400000095,1.47E-12,-4.400000095,1.06E-12,-4.400000095,3.40E-12,-4.400000095,1.79E-13,-4.400000095,2.09E-12,-4.400000095,4.53E-13,-4.400000095,3.93E-12,-4.400000095,8.93E-13,-4.400000095,2.88E-13,-4.400000095,2.67E-12,-4.400000095,4.80E-14,-4.400000095,3.19E-12,-4.400000095,1.72E-12,-4.400000095,4.43E-12,-4.400000095,5.53E-13,-4.400000095,8.53E-13,-4.400000095,2.64E-12,-4.400000095,7.03E-13,-4.400000095,1.79E-12,-4.400000095,1.75E-12,-4.400000095,1.24E-13,-4.400000095,2.70E-12,-4.400000095,1.26E-12,-4.400000095,1.56E-12,-4.400000095,2.48E-12,-4.400000095,1.37E-12,-4.400000095,2.92E-13,-4.400000095,1.53E-12,-4.400000095,3.12E-12,-4.400000095,1.71E-13,-4.400000095,1.11E-12,-4.400000095,2.69E-12,-4.400000095,6.43E-13,-4.400000095,2.50E-13,-4.400000095,3.83E-12,-4.400000095,1.70E-12
